,Source,Target,Interaction
645,XP_007239065.2,XP_049322581.1,?
647,XP_007239065.2,XP_007239065.2,?
648,XP_007239065.2,XP_049338159.1,?
649,XP_007239065.2,XP_007233450.3,?
650,XP_007239065.2,XP_049334916.1,?
653,XP_007239065.2,XP_007231555.1,?
664,XP_007239065.2,XP_015458063.1,?
665,XP_007239065.2,XP_022533224.1,?
666,XP_007239065.2,XP_022525361.2,?
672,XP_007239065.2,XP_049326957.1,?
696,XP_007239065.2,XP_049325524.1,?
698,XP_007239065.2,XP_022528008.1,?
714,XP_007239065.2,XP_022531515.2,?
749,XP_007239065.2,XP_022534513.2,?
750,XP_007239065.2,XP_049330927.1,?
756,XP_007239065.2,XP_049322220.1,?
757,XP_007239065.2,XP_049339672.1,?
758,XP_007239065.2,XP_022518570.2,?
760,XP_007239065.2,XP_049334924.1,?
762,XP_007239065.2,XP_007233291.3,?
763,XP_007239065.2,XP_007252922.3,?
767,XP_007239065.2,XP_007238807.2,?
769,XP_007239065.2,XP_049332511.1,?
772,XP_007239065.2,XP_015463679.3,?
773,XP_007239065.2,XP_015460600.3,?
776,XP_007239065.2,XP_049325950.1,?
779,XP_007239065.2,XP_022534414.2,?
780,XP_007239065.2,XP_022542648.1,?
784,XP_007239065.2,XP_007227944.2,?
786,XP_007239065.2,XP_049329475.1,?
792,XP_007239065.2,XP_049322804.1,?
795,XP_007239065.2,XP_049319448.1,?
797,XP_007239065.2,XP_022538775.1,?
800,XP_007239065.2,XP_007245174.2,?
801,XP_007239065.2,XP_022530415.1,?
802,XP_007239065.2,NP_001278184.1,?
803,XP_007239065.2,XP_007258647.3,?
807,XP_007239065.2,XP_049318861.1,?
808,XP_007239065.2,XP_049322309.1,?
810,XP_007239065.2,XP_022525206.2,?
813,XP_007239065.2,XP_049323015.1,?
815,XP_007239065.2,XP_049321168.1,?
818,XP_007239065.2,XP_049319614.1,?
819,XP_007239065.2,XP_049327111.1,?
821,XP_007239065.2,XP_049334556.1,?
822,XP_007239065.2,XP_022540224.2,?
823,XP_007239065.2,XP_022529397.2,?
828,XP_007239065.2,XP_022534845.2,?
829,XP_007239065.2,XP_007231416.3,?
830,XP_007239065.2,XP_022529328.1,?
831,XP_007239065.2,XP_022535509.2,?
833,XP_007239065.2,XP_049323820.1,?
834,XP_007239065.2,XP_007258426.3,?
835,XP_007239065.2,XP_007247345.1,?
839,XP_007239065.2,XP_022541167.2,?
841,XP_007239065.2,XP_049325969.1,?
844,XP_007239065.2,XP_049330475.1,?
845,XP_007239065.2,XP_022539171.2,?
847,XP_007239065.2,XP_007233820.1,?
849,XP_007239065.2,XP_007253613.3,?
854,XP_007239065.2,XP_022519870.2,?
855,XP_007239065.2,XP_049338683.1,?
856,XP_007239065.2,XP_049339374.1,?
860,XP_007239065.2,XP_007239003.3,?
861,XP_007239065.2,XP_007252562.1,?
862,XP_007239065.2,XP_007251055.1,?
864,XP_007239065.2,XP_049329175.1,?
869,XP_007239065.2,XP_049327206.1,?
870,XP_007239065.2,XP_007246364.3,?
873,XP_007239065.2,XP_022520793.1,?
880,XP_007239065.2,XP_049340658.1,?
887,XP_007239065.2,XP_022533794.2,?
890,XP_007239065.2,XP_022529227.2,?
891,XP_007239065.2,XP_007244724.3,?
899,XP_007239065.2,XP_007245968.3,?
902,XP_007239065.2,XP_022536787.2,?
903,XP_007239065.2,XP_007252036.3,?
904,XP_007239065.2,XP_022527514.2,?
911,XP_007239065.2,XP_022529013.1,?
912,XP_007239065.2,XP_022529862.1,?
913,XP_007239065.2,XP_022527061.2,?
914,XP_007239065.2,XP_022541371.2,?
917,XP_007239065.2,XP_007243228.1,?
921,XP_007239065.2,XP_015462373.1,?
922,XP_007239065.2,XP_007249833.3,?
924,XP_007239065.2,XP_015461148.1,?
926,XP_007239065.2,XP_022525816.2,?
928,XP_007239065.2,XP_049322770.1,?
930,XP_007239065.2,XP_022524896.1,?
932,XP_007239065.2,XP_007228452.2,?
933,XP_007239065.2,XP_022531939.2,?
1247,XP_049334848.1,XP_007246414.3,?
1248,XP_049334848.1,XP_049323199.1,?
1265,XP_007230011.1,XP_015458704.1,?
1266,XP_007230011.1,XP_007256318.3,?
1273,XP_007230011.1,XP_007238457.1,?
1274,XP_007230011.1,XP_022530445.2,?
1275,XP_007230011.1,XP_049327656.1,?
1276,XP_007230011.1,XP_007247015.2,?
1277,XP_007230011.1,XP_007235681.1,?
1278,XP_007230011.1,XP_007247496.1,?
3658,XP_007232960.1,XP_007256291.1,?
3715,XP_007232960.1,XP_015460600.3,?
3717,XP_007232960.1,XP_022536211.2,?
3718,XP_007232960.1,XP_022537139.2,?
3719,XP_007232960.1,XP_049338024.1,?
3723,XP_007232960.1,XP_007236575.3,?
3729,XP_007232960.1,NP_001278184.1,?
3730,XP_007232960.1,XP_007228708.2,?
3742,XP_007232960.1,XP_022541001.1,?
3743,XP_007232960.1,XP_007247390.2,?
3745,XP_007232960.1,XP_007249807.1,?
3749,XP_007232960.1,XP_007260165.3,?
3751,XP_007232960.1,XP_049322920.1,?
3755,XP_007232960.1,XP_022522382.2,?
3756,XP_007232960.1,XP_022524896.1,?
3757,XP_007232960.1,XP_049336598.1,?
3759,XP_007232960.1,XP_007235655.2,?
3760,XP_007232960.1,XP_049337100.1,?
3768,XP_007258448.3,XP_022521968.2,?
3777,XP_007258448.3,XP_049320130.1,?
3782,XP_007258448.3,XP_007232916.1,?
3783,XP_007258448.3,XP_022524493.1,?
3785,XP_007258448.3,XP_022541923.1,?
3794,XP_007258448.3,XP_007228221.3,?
3797,XP_007258448.3,XP_007253648.1,?
3802,XP_007258448.3,XP_022523017.2,?
3806,XP_007258448.3,XP_022536658.2,?
4889,XP_022539637.1,XP_049339985.1,?
4890,XP_022539637.1,XP_007244661.1,?
4892,XP_022539637.1,XP_015458687.1,?
4893,XP_022539637.1,XP_007258310.1,?
4911,XP_049326973.1,XP_007235711.2,?
4912,XP_049326973.1,XP_049338458.1,?
4922,XP_049326973.1,XP_022521160.2,?
4923,XP_049326973.1,XP_007236810.3,?
4926,XP_049326973.1,XP_007250237.3,?
4927,XP_049326973.1,XP_007245174.2,?
4928,XP_049326973.1,XP_007252301.2,?
4929,XP_049326973.1,XP_022536518.2,?
4934,XP_049326973.1,XP_049330475.1,?
4935,XP_049326973.1,XP_007229451.2,?
4937,XP_049326973.1,XP_049327561.1,?
4939,XP_049326973.1,XP_022526724.2,?
4942,XP_049326973.1,XP_007245968.3,?
4943,XP_049326973.1,XP_022533597.1,?
4944,XP_049326973.1,XP_007239958.3,?
4945,XP_049326973.1,XP_007228505.2,?
4946,XP_049326973.1,XP_022524828.1,?
5277,XP_007236810.3,XP_007235711.2,?
5280,XP_007236810.3,XP_007260574.3,?
5281,XP_007236810.3,XP_022539193.2,?
5292,XP_007236810.3,XP_007257457.3,?
5302,XP_007236810.3,XP_007258434.2,?
5303,XP_007236810.3,XP_007247488.2,?
5317,XP_007236810.3,XP_007231946.1,?
5318,XP_007236810.3,XP_007251995.1,?
5319,XP_007236810.3,XP_007229817.1,?
5320,XP_007236810.3,XP_015458514.3,?
5324,XP_007236810.3,XP_022526231.2,?
5325,XP_007236810.3,XP_007236810.3,?
5326,XP_007236810.3,NP_001278181.1,?
5329,XP_007236810.3,XP_022531313.2,?
5331,XP_007236810.3,XP_007253175.2,?
5338,XP_007236810.3,XP_022537597.2,?
5339,XP_007236810.3,XP_007250237.3,?
5340,XP_007236810.3,XP_007259514.3,?
5343,XP_007236810.3,XP_049326924.1,?
5345,XP_007236810.3,XP_007252301.2,?
5351,XP_007236810.3,XP_049339016.1,?
5354,XP_007236810.3,XP_049339659.1,?
5355,XP_007236810.3,XP_022534770.1,?
5356,XP_007236810.3,XP_022522790.2,?
5358,XP_007236810.3,XP_007235288.2,?
5359,XP_007236810.3,XP_049327656.1,?
5360,XP_007236810.3,XP_007253976.1,?
5362,XP_007236810.3,XP_022530504.1,?
5363,XP_007236810.3,XP_022539591.2,?
5364,XP_007236810.3,XP_022526058.2,?
5367,XP_007236810.3,XP_007229451.2,?
5370,XP_007236810.3,XP_049320267.1,?
5373,XP_007236810.3,XP_049327503.1,?
5383,XP_007236810.3,XP_007228842.1,?
5388,XP_007236810.3,XP_049326900.1,?
5389,XP_007236810.3,XP_049328076.1,?
5392,XP_007236810.3,XP_007241118.2,?
5393,XP_007236810.3,XP_022533597.1,?
5395,XP_007236810.3,XP_022520941.2,?
5396,XP_007236810.3,XP_007239958.3,?
5398,XP_007236810.3,XP_049319076.1,?
5400,XP_007236810.3,XP_022539435.2,?
5401,XP_007236810.3,XP_015460575.3,?
5403,XP_007236810.3,XP_022523075.2,?
5407,XP_007236810.3,XP_022524828.1,?
5410,XP_007236810.3,XP_049320050.1,?
5414,XP_007236810.3,XP_022539795.2,?
5416,XP_007236810.3,XP_007246260.3,?
5647,XP_049338459.1,XP_022539193.2,?
5649,XP_049338459.1,XP_007260023.3,?
5650,XP_049338459.1,XP_007240522.2,?
5653,XP_049338459.1,XP_007252853.2,?
5663,XP_049338459.1,XP_007251317.1,?
5664,XP_049338459.1,XP_022526231.2,?
5669,XP_049338459.1,XP_007239107.1,?
5671,XP_049338459.1,XP_007253965.1,?
5672,XP_049338459.1,XP_049327656.1,?
5674,XP_049338459.1,XP_007239958.3,?
5677,XP_049338459.1,XP_049320050.1,?
5679,XP_049338459.1,XP_022539795.2,?
5935,XP_022531313.2,XP_015457634.1,?
5941,XP_022531313.2,XP_049322581.1,?
5943,XP_022531313.2,XP_007237542.1,?
5945,XP_022531313.2,XP_049338458.1,?
5946,XP_022531313.2,XP_022540516.2,?
5947,XP_022531313.2,XP_022520847.1,?
5948,XP_022531313.2,XP_049339875.1,?
5949,XP_022531313.2,XP_049338159.1,?
5950,XP_022531313.2,XP_049336677.1,?
5953,XP_022531313.2,XP_007233450.3,?
5954,XP_022531313.2,XP_049334916.1,?
5956,XP_022531313.2,XP_007256648.2,?
5961,XP_022531313.2,XP_022521384.2,?
5963,XP_022531313.2,XP_022529278.2,?
5965,XP_022531313.2,XP_007257385.1,?
5968,XP_022531313.2,XP_022533224.1,?
5969,XP_022531313.2,XP_022533946.1,?
5971,XP_022531313.2,XP_022536310.2,?
5973,XP_022531313.2,XP_022525361.2,?
5994,XP_022531313.2,XP_007257457.3,?
6000,XP_022531313.2,XP_022538255.2,?
6001,XP_022531313.2,XP_022528008.1,?
6009,XP_022531313.2,XP_007242514.1,?
6010,XP_022531313.2,XP_022523064.2,?
6014,XP_022531313.2,XP_007259096.3,?
6022,XP_022531313.2,XP_022531515.2,?
6030,XP_022531313.2,XP_007259542.2,?
